2 ﻿Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
14547 laptop,Silver,NA,Calculations,Screen,No,No,Yes,7,70000,17500,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_1_2,1_2,1850,pStfS7CMtu9CPMFLi
14548 laptop,Silver,NA,Web browsing,Screen,No,No,Yes,7,70000,17500,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_1_3,1_3,1850,RgC9eGnKzH7f4GuQa
14549 laptop,Silver,NA,Online shopping,Screen,No,No,Yes,7,70000,17500,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_1_4,1_4,1850,k9x8PCiywgJvgn8Xi
14550 laptop,Silver,NA,Chat tool,Screen,No,No,Yes,7,70000,17500,Gray,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_1_5,1_5,1850,cuj7B87c98jYznhyp
14551 laptop,White,NA,Desktop,Screen,No,No,Yes,7,70000,17500,White,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_2_0,2_0,1850,F8bqvR7p6dEi8Dsof
14552 laptop,White,NA,Search engine,Screen,No,No,Yes,7,70000,17500,White,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_2_1,2_1,1850,9YZmbPhaCKg6Jn9HY
14553 laptop,White,NA,Calculations,Screen,No,No,Yes,7,70000,17500,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_2_2,2_2,1850,Kvg4AF3cWmbpA92k4
14554 laptop,White,NA,Web browsing,Screen,No,No,Yes,7,70000,17500,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_2_3,2_3,1850,QvJ3YPzFmKCN8Layc
14555 laptop,White,NA,Online shopping,Screen,No,No,Yes,7,70000,17500,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_2_4,2_4,1850,4cCjnDqkocx7fxz3L
14556 laptop,White,NA,Chat tool,Screen,No,No,Yes,7,70000,17500,White,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_2_5,2_5,1850,Jmhz2FBKLphWGngHF
14557 laptop,Red,NA,Desktop,Screen,No,No,Yes,7,70000,17500,Red,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_3_0,3_0,1850,aeMY3aF66mC8v5bsM
14558 laptop,Red,NA,Search engine,Screen,No,No,Yes,7,70000,17500,Red,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_3_1,3_1,1850,HnKah3cqTDCy53NZN
14559 laptop,Red,NA,Calculations,Screen,No,No,Yes,7,70000,17500,Red,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_3_2,3_2,1850,pmddq2GcoK7CrdSyj
14560 laptop,Red,NA,Web browsing,Screen,No,No,Yes,7,70000,17500,Red,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_3_3,3_3,1850,uth2tWWhBjYj8GTHS
14561 laptop,Red,NA,Online shopping,Screen,No,No,Yes,7,70000,17500,Red,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_3_4,3_4,1850,fMfn8E4rCigpnv6FB
14562 laptop,Red,NA,Chat tool,Screen,No,No,Yes,7,70000,17500,Red,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_3_5,3_5,1850,bs5ib8cgonvbxevEC
14563 laptop,Pink,NA,Desktop,Screen,No,No,Yes,7,70000,17500,Pink,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_4_0,4_0,1850,bZKGXMr8o9avMdNbh
14564 laptop,Pink,NA,Search engine,Screen,No,No,Yes,7,70000,17500,Pink,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_4_1,4_1,1850,2P4xpEofdNmWeHN6g
14565 laptop,Pink,NA,Calculations,Screen,No,No,Yes,7,70000,17500,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_4_2,4_2,1850,RwLxBu6EeKyWvB6Jg
14566 laptop,Pink,NA,Web browsing,Screen,No,No,Yes,7,70000,17500,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_4_3,4_3,1850,WEF9NdyRNbKW4mJmF
14567 laptop,Pink,NA,Online shopping,Screen,No,No,Yes,7,70000,17500,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_4_4,4_4,1850,LTDHXC9npfAyvbEge
14568 laptop,Pink,NA,Chat tool,Screen,No,No,Yes,7,70000,17500,Pink,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_4_5,4_5,1850,ARC7oNi3FysWPAgnE
14569 laptop,Blue,NA,Desktop,Screen,No,No,Yes,7,70000,17500,Blue,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_5_0,5_0,1850,GwHk2YaFmA4zbh3dm
14570 laptop,Blue,NA,Search engine,Screen,No,No,Yes,7,70000,17500,Blue,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_5_1,5_1,1850,45zYXfNb3ebFABXYL
14571 laptop,Blue,NA,Calculations,Screen,No,No,Yes,7,70000,17500,Blue,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_5_2,5_2,1850,AzzNgngmkYjDDqH9G
14572 laptop,Blue,NA,Web browsing,Screen,No,No,Yes,7,70000,17500,Blue,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_5_3,5_3,1850,73jb4tLqsHwT334S4
14573 laptop,Blue,NA,Online shopping,Screen,No,No,Yes,7,70000,17500,Blue,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_5_4,5_4,1850,QL884HRGdZycwKNjk
14574 laptop,Blue,NA,Chat tool,Screen,No,No,Yes,7,70000,17500,Blue,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_5_5,5_5,1850,qu6uintpYu6CGZnhr
14575 laptop,Gold,NA,Desktop,Screen,No,No,Yes,7,70000,17500,Beige,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_6_0,6_0,1850,32D7tDG8KkvL4RQP8
14576 laptop,Gold,NA,Search engine,Screen,No,No,Yes,7,70000,17500,Beige,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_6_1,6_1,1850,EPXxG8RJbXtgivCpR
14577 laptop,Gold,NA,Calculations,Screen,No,No,Yes,7,70000,17500,Beige,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_6_2,6_2,1850,stv9GYgcPf5xN9dsL
14578 laptop,Gold,NA,Web browsing,Screen,No,No,Yes,7,70000,17500,Beige,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_6_3,6_3,1850,rDerP5Xq2rEcJpuDe
14579 laptop,Gold,NA,Online shopping,Screen,No,No,Yes,7,70000,17500,Beige,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_6_4,6_4,1850,Cv6K8aSDEqEe2aTJK
14580 laptop,Gold,NA,Chat tool,Screen,No,No,Yes,7,70000,17500,Beige,Colorful,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,living room,None,None,Yes,Office,No,Does not play music,Monitor,For sale,FtrLaptop_Remake_6_5,6_5,1850,cdtJukj9MRRNFhPhL
14581 LCD TV (20 in.),Black,NA,NA,NA,No,No,No,NA,60000,15000,Black,Black,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_0_0,0_0,3333,5AwaWx3RHA5RDZEjW
14582 LCD TV (20 in.),White,NA,NA,NA,No,No,No,NA,60000,15000,White,White,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_1_0,1_0,3333,iL9sPPTYrY7vn2PdT
14583 LCD TV (20 in.),Silver,NA,NA,NA,No,No,No,NA,60000,15000,Gray,Gray,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_2_0,2_0,3333,d6raGPQp2sD9M9e2J
14584 LCD TV (20 in.),Red,NA,NA,NA,No,No,No,NA,60000,15000,Red,Red,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_3_0,3_0,3333,ddvPq8gegGh6mnFCe
14585 LCD TV (20 in.),Yellow,NA,NA,NA,No,No,No,NA,60000,15000,Yellow,Yellow,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_4_0,4_0,3333,yzaxgspFkwoPhaKA4
14586 LCD TV (20 in.),Blue,NA,NA,NA,No,No,No,NA,60000,15000,Blue,Blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_5_0,5_0,3333,XAb6gdPPFCuAGzK3J
14587 LCD TV (20 in.),Pink,NA,NA,NA,No,No,No,NA,60000,15000,Pink,Pink,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_6_0,6_0,3333,pMCEqH5mDfd7gQz8L
14588 LCD TV (20 in.),Light blue,NA,NA,NA,No,No,No,NA,60000,15000,Light blue,Light blue,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV20inch_Remake_7_0,7_0,3333,zRNhtxeEnzZFK5ZRu
14589 LCD TV (50 in.),Black,NA,NA,NA,No,No,No,NA,99000,24750,Black,Black,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV50inch_Remake_0_0,0_0,3252,R2eBACAgTNphGihYi
14590 LCD TV (50 in.),White,NA,NA,NA,No,No,No,NA,99000,24750,White,White,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV50inch_Remake_1_0,1_0,3252,SdqtMEWfNyEYkhRBy
14591 LCD TV (50 in.),Silver,NA,NA,NA,No,No,No,NA,99000,24750,Gray,Gray,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV50inch_Remake_2_0,2_0,3252,6sD4Zk7KLvDLNr8Nd
14592 LCD TV (50 in.),Red,NA,NA,NA,No,No,No,NA,99000,24750,Red,Red,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV50inch_Remake_3_0,3_0,3252,sL8nqnJTE5CNDWq5h
14593 LCD TV (50 in.),Blue,NA,NA,NA,No,No,No,NA,99000,24750,Blue,Blue,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,None,None,None,Yes,TV,No,Does not play music,Monitor,For sale,FtrTV50inch_Remake_4_0,4_0,3252,ddfeADCumyWQQtftM
14594 Libra scale,NA,NA,NA,NA,Yes,No,No,NA,NFS,21750,Yellow,Yellow,1x1,Crafting,,1.0.0,expensive,None,stars,None,Yes,Facility Decor,No,Does not play music,No lighting,Not for sale,FtrZodiacLibra,NA,3774,Cx5Jj9MPPBHikMv9D
14595 life ring,Red,NA,NA,NA,No,No,No,NA,360,90,Red,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrLifebelt_Remake_0_0,0_0,7148,qkZPidCjKfFEc8y3d
14596 life ring,Blue,NA,NA,NA,No,No,No,NA,360,90,Blue,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrLifebelt_Remake_1_0,1_0,7148,39imQZhzL9TJwws3o
14597 life ring,Yellow,NA,NA,NA,No,No,No,NA,360,90,Yellow,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrLifebelt_Remake_2_0,2_0,7148,KoLPYWE6QKFDQSDkm
14598 life ring,Orange,NA,NA,NA,No,No,No,NA,360,90,Orange,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrLifebelt_Remake_3_0,3_0,7148,C2Dw6LQR3AvMLYLmQ
14599 loach model,NA,NA,NA,NA,No,No,No,NA,NFS,1200,Brown,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,FtrFishDojouToy,NA,6944,Gz3jCfbgNgGuQ26HK
14600 long locust model,NA,NA,NA,NA,No,No,No,NA,NFS,600,Green,Green,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectShoryobattaToy,NA,7097,rTARA7nZKYi9tv8op
14601 lucky cat,White,Variation,NA,NA,No,Yes,No,3,NFS,1675,White,Yellow,1x1,Gulliver,,1.0.0,folk art,zen-style,None,None,No,Shop,No,Does not play music,No lighting,Not for sale,FtrManekineko_Remake_0_0,0_0,131,zKpmmPT8YR7AQic6t
14602 lucky cat,Black,Variation,NA,NA,No,Yes,No,3,NFS,1675,Black,Yellow,1x1,Gulliver,,1.0.0,folk art,zen-style,None,None,No,Shop,No,Does not play music,No lighting,Not for sale,FtrManekineko_Remake_1_0,1_0,131,qt7DaTSaQydteXm72
14603 lucky gold cat,NA,NA,NA,NA,Yes,No,No,NA,NFS,21675,Yellow,Yellow,1x1,Crafting,,1.0.0,expensive,None,None,None,No,Shop,No,Does not play music,No lighting,Not for sale,FtrManekinekoGold,NA,9814,uu8FDyp2Z99SqqD8i
14604 M. sunset moth model,NA,NA,NA,NA,No,No,No,NA,NFS,7500,Green,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,FtrInsectNishikiohtsubamegaToy,NA,7117,ZraXD3ktk7uDQe5ka
14605 magazine,NA,NA,Food,Feature,No,No,Yes,1,210,52,White,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_0,0_0,3586,ubFRtmXtA5tPzZu67
14606 magazine,NA,NA,Cars,Feature,No,No,Yes,1,210,52,White,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_1,0_1,3586,jp8LMYNvKuuzHMQmk
14607 magazine,NA,NA,Fashion,Feature,No,No,Yes,1,210,52,White,Purple,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_2,0_2,3586,HWAKztLbE26R24E3B
14608 magazine,NA,NA,Outdoors,Feature,No,No,Yes,1,210,52,White,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_3,0_3,3586,jqGwP9z9ET7PmMjzJ
14609 magazine,NA,NA,Resorts,Feature,No,No,Yes,1,210,52,White,Light blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_4,0_4,3586,T6RRkWuSRGjQRzJxg
14610 magazine,NA,NA,Music,Feature,No,No,Yes,1,210,52,White,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_5,0_5,3586,i8QEQcS7u9NNHfErk
14611 magazine,NA,NA,Pop stars,Feature,No,No,Yes,1,210,52,White,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,child's room,None,None,No,Study,No,Does not play music,No lighting,For sale,FtrMagagineOpened_Remake_0_6,0_6,3586,FNnGBX8fDGQYq3xEG
14612 magazine rack,Natural,Body color,Café,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Blue,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_0,0_0,1032,Wo4yYZbKaqdwdqZ7M
14613 magazine rack,Natural,Body color,Travel,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Red,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_1,0_1,1032,AvB87oMQSiYZR9QwD
14614 magazine rack,Natural,Body color,Fashion,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Gray,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_2,0_2,1032,ktE9LyLDx8QtLWEtk
14615 magazine rack,Natural,Body color,Sports,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_3,0_3,1032,BJMuMLcRCtx5D4k57
14616 magazine rack,Natural,Body color,Comics,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_4,0_4,1032,LSJaDaSmM9etu3X7h
14617 magazine rack,Natural,Body color,Kids,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Pink,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_5,0_5,1032,cAHru2tWYhnttwET2
14618 magazine rack,Natural,Body color,Weekly news,Magazine,Yes,Yes,Yes,2,NFS,690,Beige,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_0_6,0_6,1032,HJZe3QeazMN5YvCuB
14619 magazine rack,Orange,Body color,Café,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Blue,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_0,1_0,1032,tTB373BydT6kevZGW
14620 magazine rack,Orange,Body color,Travel,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Red,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_1,1_1,1032,5YTXJt86SBcnLk6im
14621 magazine rack,Orange,Body color,Fashion,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Gray,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_2,1_2,1032,TdjSJ35oCKopgGaCr
14622 magazine rack,Orange,Body color,Sports,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_3,1_3,1032,xsMXLLEzdy2MrQMWR
14623 magazine rack,Orange,Body color,Comics,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_4,1_4,1032,Pi5Ykg6xPrQYYkirp
14624 magazine rack,Orange,Body color,Kids,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Pink,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_5,1_5,1032,MGB6SFrnQZZcqDRFK
14625 magazine rack,Orange,Body color,Weekly news,Magazine,Yes,Yes,Yes,2,NFS,690,Orange,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_1_6,1_6,1032,jtri7Qn8ccQpnmNBH
14626 magazine rack,Brown,Body color,Café,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Blue,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_0,2_0,1032,662Jbq3RLNgSxGJdY
14627 magazine rack,Brown,Body color,Travel,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Red,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_1,2_1,1032,HWtE8m3M3KfZkHD4f
14628 magazine rack,Brown,Body color,Fashion,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Gray,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_2,2_2,1032,79gtKZbMg2xN9rPHN
14629 magazine rack,Brown,Body color,Sports,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_3,2_3,1032,phgiNZCS82KjWSkNM
14630 magazine rack,Brown,Body color,Comics,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_4,2_4,1032,y6udXZKaamcgghk93
14631 magazine rack,Brown,Body color,Kids,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Pink,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_5,2_5,1032,7sYeGYvcdLhSnooSM
14632 magazine rack,Brown,Body color,Weekly news,Magazine,Yes,Yes,Yes,2,NFS,690,Brown,Colorful,1x1,Crafting,,1.0.0,living room,shop,None,None,No,Study,No,Does not play music,No lighting,Not for sale,FtrMagazinerack_Remake_2_6,2_6,1032,p24iNjZsjPAq2bWBr
